Nr;Sekunden;PV_West_kW;PV_Sued_kW;PV_Ost_kW;Strombedarf_kW;u_Spot_EuroMWh;TWWH1_kW;TWWH2_kW;TWWH3_kW;TWWH4_kW;TWWH5_kW;TWWH6_kW;HeizwaermeH1_kW;HeizwaermeH2_kW;HeizwaermeH3_kW;HeizwaermeH4_kW;HeizwaermeH5_kW;HeizwaermeH6_kW;Temperatur_degC;;;;;;;;
1;0;0;0;0;5,591767;20,9;0;0;0;0;0;0;4,1305;3,75612;3,34023;3,36879;3,85198;4,22351;2,8;;;;;;;;
2;900;0;0;0;5,591767;20,9;0;0;0;0;0;0;4,1305;3,75612;3,34023;3,36879;3,85198;4,22351;2,8;;;;;;;;
3;1800;0;0;0;5,591767;20,9;0;0;0;0;0;0;4,1305;3,75612;3,34023;3,36879;3,85198;4,22351;2,8;;;;;;;;
4;2700;0;0;0;5,591767;20,9;0;0;0;0;0;0;4,1305;3,75612;3,34023;3,36879;3,85198;4,22351;2,8;;;;;;;;
5;3600;0;0;0;5,51977;18,1;0;0;0;0;0;0;4,39463;4,00921;3,54203;3,56972;4,09647;4,48439;3;;;;;;;;
6;4500;0;0;0;5,51977;18,1;0;0;0;0;0;0;4,39463;4,00921;3,54203;3,56972;4,09647;4,48439;3;;;;;;;;
7;5400;0;0;0;5,51977;18,1;0;0;0;0;0;0;4,39463;4,00921;3,54203;3,56972;4,09647;4,48439;3;;;;;;;;
8;6300;0;0;0;5,51977;18,1;0;1,28E+00;0;8,35E-01;0;0;4,39463;4,00921;3,54203;3,56972;4,09647;4,48439;3;;;;;;;;
9;7200;0;0;0;5,327778;16;0;0;0;0;0;0;4,37951;3,99423;3,52444;3,55442;4,08395;4,46601;3;;;;;;;;
10;8100;0;0;0;5,327778;16;0;0;0;0;0;0;4,37951;3,99423;3,52444;3,55442;4,08395;4,46601;3;;;;;;;;
11;9000;0;0;0;5,327778;16;0;1,28E+00;0;0;0;0;4,37951;3,99423;3,52444;3,55442;4,08395;4,46601;3;;;;;;;;
12;9900;0;0;0;5,327778;16;0;1,06E+00;0;8,35E-01;0;0;4,37951;3,99423;3,52444;3,55442;4,08395;4,46601;3;;;;;;;;
13;10800;0;0;0;5,111787;16,4;0;0;0;0;0;0;4,07407;3,70726;3,27896;3,30539;3,78771;4,15731;2,9;;;;;;;;
14;11700;0;0;0;5,111787;16,4;0;0;0;0;0;0;4,07407;3,70726;3,27896;3,30539;3,78771;4,15731;2,9;;;;;;;;
15;12600;0;0;0;5,111787;16,4;0;0;0;0;0;0;4,07407;3,70726;3,27896;3,30539;3,78771;4,15731;2,9;;;;;;;;
16;13500;0;0;0;5,111787;16,4;0;6,40572228;6,88373424;1,25E+00;6,95855088;1,83E+00;4,07407;3,70726;3,27896;3,30539;3,78771;4,15731;2,9;;;;;;;;
17;14400;0;0;0;4,943794;13,8;0;0;0;0;2,25E+00;0;3,95417;3,59189;3,18188;3,20755;3,66847;4,03526;3;;;;;;;;
18;15300;0;0;0;4,943794;13,8;0;0;0;0;0;0;3,95417;3,59189;3,18188;3,20755;3,66847;4,03526;3;;;;;;;;
19;16200;0;0;0;4,943794;13,8;0;0;0;0;0;0;3,95417;3,59189;3,18188;3,20755;3,66847;4,03526;3;;;;;;;;
20;17100;0;0;0;4,943794;13,8;1,92E+00;6,40572228;1,84E+00;8,35E-01;6,95855088;1,83E+00;3,95417;3,59189;3,18188;3,20755;3,66847;4,03526;3;;;;;;;;
21;18000;0;0;0;4,7998;11,1;0;0;0;0;3,10E+00;0;3,56518;3,21439;2,86783;2,89504;3,29278;3,64228;3,7;;;;;;;;
22;18900;0;0;0;4,7998;11,1;0;0;0;0;0;0;3,56518;3,21439;2,86783;2,89504;3,29278;3,64228;3,7;;;;;;;;
23;19800;0;0;0;4,7998;11,1;0;0;0;0;0;0;3,56518;3,21439;2,86783;2,89504;3,29278;3,64228;3,7;;;;;;;;
24;20700;0;0;0;4,7998;11,1;2,39E+00;6,40572228;1,84E+00;1,67E+00;6,95855088;1,83E+00;3,56518;3,21439;2,86783;2,89504;3,29278;3,64228;3,7;;;;;;;;
25;21600;0;0;0;4,607808;15,5;0;0;0;0;0;0;3,21142;2,87574;2,71639;2,73932;3,09872;3,41139;4,9;;;;;;;;
26;22500;0;0;0;4,607808;15,5;0;0;0;0;0;0;3,21142;2,87574;2,71639;2,73932;3,09872;3,41139;4,9;;;;;;;;
27;23400;0;0;0;4,607808;15,5;0;0;0;0;0;0;3,21142;2,87574;2,71639;2,73932;3,09872;3,41139;4,9;;;;;;;;
28;24300;0;0;0;4,607808;15,5;5,27195856;6,40572228;4,59E+00;5,01E+00;1,86E+00;1,83E+00;3,21142;2,87574;2,71639;2,73932;3,09872;3,41139;4,9;;;;;;;;
29;25200;0;0;0;4,535811;16,9;0;0;0;0;0;0;2,06496;1,6732;2,26611;2,28921;2,53125;2,75654;5,9;;;;;;;;
30;26100;0;0;0;4,535811;16,9;0;0;0;0;0;0;2,06496;1,6732;2,26611;2,28921;2,53125;2,75654;5,9;;;;;;;;
31;27000;0;0;0;4,535811;16,9;0;0;0;0;0;0;2,06496;1,6732;2,26611;2,28921;2,53125;2,75654;5,9;;;;;;;;
32;27900;0;0;0;4,535811;16,9;5,27195856;5,55407964;3,21E+00;3,76E+00;6,95855088;3,41E+00;2,06496;1,6732;2,26611;2,28921;2,53125;2,75654;5,9;;;;;;;;
33;28800;0;0;0;4,55981;21,8;0;0;0;0;0;3,42E+00;0,87926;0,4998;0,98954;1,01067;1,40636;1,62466;6,2;;;;;;;;
34;29700;0;0;0;4,55981;21,8;4,31E+00;0;0;0;0;0;0,87926;0,4998;0,98954;1,01067;1,40636;1,62466;6,2;;;;;;;;
35;30600;0;0;0;4,55981;21,8;5,9177046;0;0;0;0;0;0,87926;0,4998;0,98954;1,01067;1,40636;1,62466;6,2;;;;;;;;
36;31500;0,012573974;0,00511406;1,26E-02;4,55981;21,8;7,19275512;3,41E+00;3,21E+00;3,76E+00;6,0333486;6,8310408;0,87926;0,4998;0,98954;1,01067;1,40636;1,62466;6,2;;;;;;;;
37;32400;0,049686558;1,99E-02;4,97E-02;4,775801;26,2;1,49E+00;0;3,85E+00;1,63E+00;0;0;1,43159;1,0163;1,33886;1,36563;1,89767;2,21422;6,7;;;;;;;;
38;33300;1,12E-01;4,37E-02;1,12E-01;4,775801;26,2;0;0;4,93E+00;4,30E+00;0;0;1,43159;1,0163;1,33886;1,36563;1,89767;2,21422;6,7;;;;;;;;
39;34200;1,99E-01;7,61E-02;1,99E-01;4,775801;26,2;0;0;0;2,78E-01;0;0;1,43159;1,0163;1,33886;1,36563;1,89767;2,21422;6,7;;;;;;;;
40;35100;3,21E-01;1,23E-01;3,21E-01;4,775801;26,2;7,19275512;3,41E+00;6,88373424;6,26031252;6,0333486;4,56E+00;1,43159;1,0163;1,33886;1,36563;1,89767;2,21422;6,7;;;;;;;;
41;36000;4,74E-01;1,85E-01;4,74E-01;5,03979;26,4;0;3,48E-01;2,48E+00;3,64E+00;0;0;1,65989;1,20531;1,48203;1,49386;2,02487;2,37538;6,7;;;;;;;;
42;36900;6,31E-01;2,49E-01;6,31E-01;5,03979;26,4;0;4,20E-01;0;0;0;0;1,65989;1,20531;1,48203;1,49386;2,02487;2,37538;6,7;;;;;;;;
43;37800;7,69E-01;3,06E-01;7,69E-01;5,03979;26,4;0;0;0;0;4,00E+00;0;1,65989;1,20531;1,48203;1,49386;2,02487;2,37538;6,7;;;;;;;;
44;38700;8,64E-01;3,45E-01;8,64E-01;5,03979;26,4;2,39E+00;6,40572228;6,88373424;6,26031252;6,95855088;2,27E+00;1,65989;1,20531;1,48203;1,49386;2,02487;2,37538;6,7;;;;;;;;
45;39600;9,32E-01;3,73E-01;9,32E-01;5,351777;27,7;0;3,76E+00;0;0;0;0;1,5228;1,11498;1,33683;1,34838;1,81091;2,14748;7,2;;;;;;;;
46;40500;1,01E+00;4,05E-01;1,01E+00;5,351777;27,7;0;0;0;0;0;0;1,5228;1,11498;1,33683;1,34838;1,81091;2,14748;7,2;;;;;;;;
