"tab1"	"P"
"1"	1	0
"2"	2	0
"3"	3	0
"4"	4	0
"5"	5	22
"6"	6	22
"7"	7	0
"8"	8	0
"9"	9	0
"10"	10	0
"11"	11	22
"12"	12	22
"13"	13	0
"14"	14	0
"15"	15	22
"16"	16	22
"17"	17	0
"18"	18	0
"19"	19	0
"20"	20	0
"21"	21	16.1258292322021
"22"	22	16.1258292322021
"23"	23	0
"24"	24	0
"25"	25	0
"26"	26	0
"27"	27	22
"28"	28	22
"29"	29	0
"30"	30	0
"31"	31	22
"32"	32	22
"33"	33	0
"34"	34	0
"35"	35	0
"36"	36	0
"37"	37	0
"38"	38	0
"39"	39	11.634442120155
"40"	40	11.634442120155
"41"	41	11
"42"	42	11
"43"	43	11
"44"	44	11
"45"	45	0
"46"	46	0
"47"	47	14.6766699245021
"48"	48	14.6766699245021
"49"	49	0
"50"	50	0
"51"	51	0
"52"	52	0
"53"	53	13.4670111973684
"54"	54	13.4670111973684
"55"	55	0
"56"	56	0
"57"	57	12.0195347860176
"58"	58	12.0195347860176
"59"	59	0
"60"	60	0
"61"	61	0
"62"	62	0
"63"	63	12.9675455568918
"64"	64	12.9675455568918
"65"	65	0
"66"	66	0
"67"	67	0
"68"	68	0
"69"	69	16.4393313385458
"70"	70	16.4393313385458
"71"	71	0
"72"	72	0
"73"	73	0
"74"	74	0
"75"	75	21.6289305930075
"76"	76	21.6289305930075
"77"	77	0
"78"	78	0
"79"	79	14.000941612923
"80"	80	14.000941612923
"81"	81	0
"82"	82	0
"83"	83	22
"84"	84	22
"85"	85	0
"86"	86	0
"87"	87	0
"88"	88	0
"89"	89	0
"90"	90	0
"91"	91	22
"92"	92	22
"93"	93	0
"94"	94	0
"95"	95	22
"96"	96	22
"97"	97	0
"98"	98	0
"99"	99	22
"100"	100	22
"101"	101	0
"102"	102	0
"103"	103	17.1433897250823
"104"	104	17.1433897250823
"105"	105	0
"106"	106	0
"107"	107	0
"108"	108	0
"109"	109	0
"110"	110	0
"111"	111	0
"112"	112	0
"113"	113	22
"114"	114	22
"115"	115	0
"116"	116	0
"117"	117	20.8338699146533
"118"	118	20.8338699146533
"119"	119	0
"120"	120	0
"121"	121	22
"122"	122	22
"123"	123	0
"124"	124	0
"125"	125	22
"126"	126	22
"127"	127	0
"128"	128	0
"129"	129	0
"130"	130	0
"131"	131	0
"132"	132	0
"133"	133	-1.18329135783152e-30
"134"	134	-1.18329135783152e-30
"135"	135	21.5495546228582
"136"	136	21.5495546228582
"137"	137	22
"138"	138	22
"139"	139	22
"140"	140	22
"141"	141	0
"142"	142	0
"143"	143	22
"144"	144	22
"145"	145	0
"146"	146	0
"147"	147	0
"148"	148	0
"149"	149	22
"150"	150	22
"151"	151	22
"152"	152	22
"153"	153	0
"154"	154	0
"155"	155	0
"156"	156	0
"157"	157	22
"158"	158	22
"159"	159	0
"160"	160	0
"161"	161	22
"162"	162	22
"163"	163	0
"164"	164	0
"165"	165	0
"166"	166	0
"167"	167	0
"168"	168	0
"169"	169	22
"170"	170	22
"171"	171	0
"172"	172	0
"173"	173	0
"174"	174	0
"175"	175	22
"176"	176	22
"177"	177	0
"178"	178	0
"179"	179	0
"180"	180	0
"181"	181	0
"182"	182	0
"183"	183	22
"184"	184	22
"185"	185	22
"186"	186	22
"187"	187	-2.06170450935565e-30
"188"	188	-2.06170450935565e-30
"189"	189	0
"190"	190	0
"191"	191	21.7814513875549
"192"	192	21.7814513875549
"193"	193	0
"194"	194	0
"195"	195	12.4894387191285
"196"	196	12.4894387191285
"197"	197	0
"198"	198	0
"199"	199	14.6191923952656
"200"	200	14.6191923952656
"201"	201	0
"202"	202	0
"203"	203	0
"204"	204	0
"205"	205	0
"206"	206	0
"207"	207	15.6253520610546
"208"	208	15.6253520610546
"209"	209	0
"210"	210	0
"211"	211	0
"212"	212	0
"213"	213	11
"214"	214	11
"215"	215	13.391963243021
"216"	216	13.391963243021
"217"	217	0
"218"	218	0
"219"	219	0
"220"	220	0
"221"	221	13.2109284660767
"222"	222	13.2109284660767
"223"	223	0
"224"	224	0
"225"	225	14.6977821957606
"226"	226	14.6977821957606
"227"	227	0
"228"	228	0
"229"	229	0
"230"	230	0
"231"	231	18.9502454418605
"232"	232	18.9502454418605
"233"	233	22
"234"	234	22
"235"	235	16.8241096741041
"236"	236	16.8241096741041
"237"	237	0
"238"	238	0
"239"	239	19.3736357368421
"240"	240	19.3736357368421
"241"	241	0
"242"	242	0
"243"	243	0
"244"	244	0
"245"	245	0
"246"	246	0
"247"	247	17.6063013920885
"248"	248	17.6063013920885
"249"	249	0
"250"	250	0
"251"	251	0
"252"	252	0
"253"	253	0
"254"	254	0
"255"	255	22
"256"	256	22
"257"	257	0
"258"	258	0
"259"	259	-9.86076131526265e-32
"260"	260	-9.86076131526265e-32
"261"	261	21.6293133242814
"262"	262	21.6293133242814
"263"	263	0
"264"	264	0
"265"	265	0
"266"	266	0
"267"	267	0
"268"	268	0
"269"	269	0
"270"	270	0
"271"	271	17.0326367534247
"272"	272	17.0326367534247
"273"	273	0
"274"	274	0
"275"	275	0
"276"	276	0
"277"	277	22
"278"	278	22
"279"	279	22
"280"	280	22
"281"	281	0
"282"	282	0
"283"	283	16.2674313847058
"284"	284	16.2674313847058
"285"	285	1.97215226305253e-31
"286"	286	1.97215226305253e-31
"287"	287	18.1195847368421
"288"	288	18.1195847368421
"289"	289	0
"290"	290	0
"291"	291	0
"292"	292	0
"293"	293	22
"294"	294	22
"295"	295	14.4483926024812
"296"	296	14.4483926024812
"297"	297	0
"298"	298	0
"299"	299	0
"300"	300	0
"301"	301	0
"302"	302	0
"303"	303	22
"304"	304	22
"305"	305	0
"306"	306	0
"307"	307	0
"308"	308	0
"309"	309	0
"310"	310	0
"311"	311	22
"312"	312	22
"313"	313	0
"314"	314	0
"315"	315	0
"316"	316	0
"317"	317	22
"318"	318	22
"319"	319	0
"320"	320	0
"321"	321	22
"322"	322	22
"323"	323	0
"324"	324	0
"325"	325	22
"326"	326	22
"327"	327	0
"328"	328	0
"329"	329	0
"330"	330	0
"331"	331	13.251411530354
"332"	332	13.251411530354
"333"	333	0
"334"	334	0
"335"	335	18.4961677302632
"336"	336	18.4961677302632
"337"	337	0
"338"	338	0
"339"	339	0
"340"	340	0
"341"	341	22
"342"	342	22
"343"	343	0
"344"	344	0
"345"	345	22
"346"	346	22
"347"	347	0
"348"	348	0
"349"	349	0
"350"	350	0
"351"	351	22
"352"	352	22
"353"	353	0
"354"	354	0
"355"	355	0
"356"	356	0
"357"	357	22
"358"	358	22
"359"	359	0
"360"	360	0
"361"	361	0
"362"	362	0
"363"	363	22
"364"	364	22
"365"	365	0
"366"	366	0
"367"	367	22
"368"	368	22
"369"	369	0
"370"	370	0
"371"	371	0
"372"	372	0
"373"	373	15.513790423431
"374"	374	15.513790423431
"375"	375	0
"376"	376	0
"377"	377	0
"378"	378	0
"379"	379	12.9587687738475
"380"	380	12.9587687738475
