"tab1"	"P"
"1"	1	0
"2"	2	0
"3"	3	2.67585244816324
"4"	4	2.67585244816324
"5"	5	8.51087664473684
"6"	6	8.51087664473684
"7"	7	0
"8"	8	0
"9"	9	2.91028007974218
"10"	10	2.91028007974218
"11"	11	7.80093980396622
"12"	12	7.80093980396622
"13"	13	0
"14"	14	0
"15"	15	8.52396700585877
"16"	16	8.52396700585877
"17"	17	0
"18"	18	0
"19"	19	2.8693499122075
"20"	20	2.8693499122075
"21"	21	8.23849045165202
"22"	22	8.23849045165202
"23"	23	0
"24"	24	0
"25"	25	2.86366477266053
"26"	26	2.86366477266053
"27"	27	7.38088193047975
"28"	28	7.38088193047975
"29"	29	0
"30"	30	0
"31"	31	10.3426712055245
"32"	32	10.3426712055245
"33"	33	3.72362778642386
"34"	34	3.72362778642386
"35"	35	2.25853557972034
"36"	36	2.25853557972034
"37"	37	0
"38"	38	0
"39"	39	6.69064812015504
"40"	40	6.69064812015504
"41"	41	6.2002
"42"	42	6.2002
"43"	43	5.45267895224017
"44"	44	5.45267895224017
"45"	45	0
"46"	46	0
"47"	47	9.87686992450213
"48"	48	9.87686992450213
"49"	49	0
"50"	50	0
"51"	51	1.83659229817608
"52"	52	1.83659229817608
"53"	53	8.09123519736842
"54"	54	8.09123519736842
"55"	55	0
"56"	56	0
"57"	57	6.9077477860176
"58"	58	6.9077477860176
"59"	59	0
"60"	60	0
"61"	61	1.64701867894084
"62"	62	1.64701867894084
"63"	63	7.85575855689177
"64"	64	7.85575855689177
"65"	65	0
"66"	66	0
"67"	67	1.87721250786668
"68"	68	1.87721250786668
"69"	69	7.54841012428008
"70"	70	7.54841012428008
"71"	71	0
"72"	72	0
"73"	73	2.17011875082024
"74"	74	2.17011875082024
"75"	75	7.15375035909222
"76"	76	7.15375035909222
"77"	77	0
"78"	78	0
"79"	79	9.08114661292303
"80"	80	9.08114661292303
"81"	81	0
"82"	82	0
"83"	83	7.16944866560418
"84"	84	7.16944866560418
"85"	85	3.40292714755003
"86"	86	3.40292714755003
"87"	87	4.51921510316035
"88"	88	4.51921510316035
"89"	89	0
"90"	90	0
"91"	91	7.03082834783103
"92"	92	7.03082834783103
"93"	93	0
"94"	94	0
"95"	95	10.2927154605263
"96"	96	10.2927154605263
"97"	97	0
"98"	98	0
"99"	99	8.56670825841283
"100"	100	8.56670825841283
"101"	101	0
"102"	102	0
"103"	103	9.79147381367295
"104"	104	9.79147381367295
"105"	105	0
"106"	106	0
"107"	107	3.12718682604086
"108"	108	3.12718682604086
"109"	109	3.8128679483139
"110"	110	3.8128679483139
"111"	111	5.68339420289855
"112"	112	5.68339420289855
"113"	113	7.70696744459205
"114"	114	7.70696744459205
"115"	115	0
"116"	116	0
"117"	117	8.21913610184905
"118"	118	8.21913610184905
"119"	119	0.543153628928541
"120"	120	0.543153628928541
"121"	121	7.57074393522383
"122"	122	7.57074393522383
"123"	123	0
"124"	124	0
"125"	125	8.01890412979351
"126"	126	8.01890412979351
"127"	127	8.14435073328699
"128"	128	8.14435073328699
"129"	129	4.78409380886775
"130"	130	4.78409380886775
"131"	131	3.42039536611465
"132"	132	3.42039536611465
"133"	133	-1.18329135783152e-30
"134"	134	-1.18329135783152e-30
"135"	135	12.9198966408269
"136"	136	12.9198966408269
"137"	137	5.15923250580123
"138"	138	5.15923250580123
"139"	139	3.26450416766852
"140"	140	3.26450416766852
"141"	141	0
"142"	142	0
"143"	143	12.1303466513158
"144"	144	12.1303466513158
"145"	145	0
"146"	146	0
"147"	147	2.72738438736913
"148"	148	2.72738438736913
"149"	149	8.36271710526316
"150"	150	8.36271710526316
"151"	151	5.67720584861449
"152"	152	5.67720584861449
"153"	153	0
"154"	154	0
"155"	155	2.11825334035243
"156"	156	2.11825334035243
"157"	157	7.90336905137094
"158"	158	7.90336905137094
"159"	159	0.720380924714078
"160"	160	0.720380924714078
"161"	161	7.8372349877451
"162"	162	7.8372349877451
"163"	163	2.2886803635799
"164"	164	2.2886803635799
"165"	165	0
"166"	166	0
"167"	167	5.21183335332933
"168"	168	5.21183335332933
"169"	169	7.77113888057468
"170"	170	7.77113888057468
"171"	171	2.42081515475771
"172"	172	2.42081515475771
"173"	173	0
"174"	174	0
"175"	175	12.1765601217656
"176"	176	12.1765601217656
"177"	177	4.45234849714705
"178"	178	4.45234849714705
"179"	179	2.55514139226529
"180"	180	2.55514139226529
"181"	181	0
"182"	182	0
"183"	183	7.70172732558139
"184"	184	7.70172732558139
"185"	185	8.69623902439024
"186"	186	8.69623902439024
"187"	187	-2.06170450935565e-30
"188"	188	-2.06170450935565e-30
"189"	189	2.59550594141959
"190"	190	2.59550594141959
"191"	191	12.8386423684211
"192"	192	12.8386423684211
"193"	193	0
"194"	194	0
"195"	195	5.93771171912852
"196"	196	5.93771171912852
"197"	197	0
"198"	198	0
"199"	199	8.06746539526564
"200"	200	8.06746539526564
"201"	201	0
"202"	202	0
"203"	203	1.38759978468645
"204"	204	1.38759978468645
"205"	205	2.96607784431138
"206"	206	2.96607784431138
"207"	207	9.33761406105458
"208"	208	9.33761406105458
"209"	209	0
"210"	210	0
"211"	211	1.54513602700708
"212"	212	1.54513602700708
"213"	213	4.904254
"214"	214	4.904254
"215"	215	7.29621724302097
"216"	216	7.29621724302097
"217"	217	0
"218"	218	0
"219"	219	1.51689997002396
"220"	220	1.51689997002396
"221"	221	7.21117846607669
"222"	222	7.21117846607669
"223"	223	2.33533255977101
"224"	224	2.33533255977101
"225"	225	8.6500341957606
"226"	226	8.6500341957606
"227"	227	1.85964400626259
"228"	228	1.85964400626259
"229"	229	0
"230"	230	0
"231"	231	12.9024974418605
"232"	232	12.9024974418605
"233"	233	4.28721071182041
"234"	234	4.28721071182041
"235"	235	3.90554294079569
"236"	236	3.90554294079569
"237"	237	0.699143064518072
"238"	238	0.699143064518072
"239"	239	13.1578947368421
"240"	240	13.1578947368421
"241"	241	0
"242"	242	0
"243"	243	3.94126317386437
"244"	244	3.94126317386437
"245"	245	0
"246"	246	0
"247"	247	8.83047020771513
"248"	248	8.83047020771513
"249"	249	0
"250"	250	0
"251"	251	0.95016262702475
"252"	252	0.95016262702475
"253"	253	2.95011818468326
"254"	254	2.95011818468326
"255"	255	8.35679498612396
"256"	256	8.35679498612396
"257"	257	0
"258"	258	0
"259"	259	0.929693476016863
"260"	260	0.929693476016863
"261"	261	7.07463776902092
"262"	262	7.07463776902092
"263"	263	0.179374726708984
"264"	264	0.179374726708984
"265"	265	2.63445974259204
"266"	266	2.63445974259204
"267"	267	5.05714940633938
"268"	268	5.05714940633938
"269"	269	0
"270"	270	0
"271"	271	10.9608897534247
"272"	272	10.9608897534247
"273"	273	1.01300497758792
"274"	274	1.01300497758792
"275"	275	0
"276"	276	0
"277"	277	7.55091040928134
"278"	278	7.55091040928134
"279"	279	6.97291921797408
"280"	280	6.97291921797408
"281"	281	0
"282"	282	0
"283"	283	5.10289051360877
"284"	284	5.10289051360877
