Nr;Sekunden;DemandHeat;DemandPower;ProductionPV
1;0;24;3;0
2;900;16;3;0
3;1800;8;3;0
4;2700;32;3;0
5;3600;8;28;0
6;4500;25;28;0
7;5400;8;3;0
8;6300;52;3;0
9;7200;92;3;0
10;8100;24;3;0
11;9000;44;3;0
12;9900;52;3;0
13;10800;52;3;0
14;11700;48;3;0
15;12600;4;3;0
16;13500;32;3;0
17;14400;92;3;0
18;15300;56;3;0
19;16200;28;3;0
20;17100;2;3;0
21;18000;72;3;0
22;18900;84;3;0
23;19800;72;3;0
24;20700;8;3;0
25;21600;8;3;0
26;22500;6;3;0
27;23400;68;3;0
28;24300;18;28;0
29;25200;48;3;0
30;26100;96;3;0
31;27000;96;3;0
32;27900;2;3;0
33;28800;8;3;0
34;29700;51;28;0
35;30600;84;3;0
36;31500;4;3;0
37;32400;84;28;0,28
38;33300;68;28;0,28
39;34200;36;28;0,28
40;35100;36;28;0,28
41;36000;56;4;3,4
42;36900;28;4;3,4
43;37800;8;10;3,4
44;38700;84;4;3,4
45;39600;16;6;9,6
46;40500;24;6;9,6
47;41400;32;6;9,6
48;42300;6;6;9,6
49;43200;56;88;10,88
50;44100;4;88;10,88
51;45000;4;88;10,88
52;45900;52;88;10,88
53;46800;72;44;9,44
54;47700;96;44;9,44
55;48600;36;44;9,44
56;49500;76;44;9,44
57;50400;12;16;10,16
58;51300;72;16;10,16
59;52200;72;16;10,16
60;53100;64;16;10,16
61;54000;72;12;2,12
62;54900;24;12;2,12
63;55800;4;12;2,12
64;56700;4;12;2,12
65;57600;68;10;0
66;58500;6;10;0
67;59400;2;10;0
68;60300;36;10;0
69;61200;12;10;0
70;62100;48;10;0
71;63000;8;10;0
72;63900;28;10;0
73;64800;84;10;0
74;65700;28;10;0
75;66600;2;10;0
76;67500;92;10;0
77;68400;31;8;0
78;69300;76;10;0
79;70200;6;10;0
80;71100;52;10;0
81;72000;72;10;0
82;72900;36;10;0
83;73800;4;10;0
84;74700;8;10;0
85;75600;4;10;0
86;76500;44;10;0
87;77400;72;8;0
88;78300;92;7;0
89;79200;56;6;0
90;80100;68;4;0
91;81000;4;3;0
92;81900;56;3;0
93;82800;12;3;0
94;83700;76;3;0
95;84600;32;3;0
96;85500;64;3;0
97;86400;4;3;0
98;87300;72;3;0
99;88200;16;3;0
100;89100;44;3;0
101;90000;2;3;0
102;90900;88;3;0
103;91800;48;3;0
104;92700;88;3;0
105;93600;6;3;0
106;94500;24;3;0
107;95400;8;3;0
108;96300;24;3;0
109;97200;64;3;0
110;98100;92;3;0
111;99000;2;3;0
112;99900;4;3;0
113;100800;24;3;0
114;101700;8;3;0
115;102600;25;28;0
116;103500;12;3;0
117;104400;56;3;0
118;105300;56;3;0
119;106200;8;5;0
120;107100;4;7;0
121;108000;2;9;0
122;108900;92;11;0
123;109800;72;13;0
124;110700;84;13;0
125;111600;4;13;0
126;112500;56;48;0
127;113400;72;13;0
128;114300;88;13;0
129;115200;88;13;0
130;116100;96;13;0
131;117000;52;13;0
132;117900;48;13;0
133;118800;4;36;11,36
134;119700;96;36;11,36
135;120600;76;36;11,36
136;121500;68;36;11,36
137;122400;24;44;20,44
138;123300;72;44;20,44
139;124200;12;44;20,44
140;125100;2;44;20,44
141;126000;28;36;26,36
142;126900;2;36;26,36
143;127800;24;36;26,36
144;128700;76;36;26,36
145;129600;44;68;14,68
146;130500;28;68;14,68
147;131400;84;68;14,68
148;132300;76;68;14,68
149;133200;84;28;9,28
150;134100;6;28;9,28
151;135000;92;28;9,28
152;135900;88;28;9,28
153;136800;68;96;11,96
154;137700;24;96;11,96
155;138600;8;96;11,96
156;139500;24;96;11,96
157;140400;52;24;4,24
158;141300;84;24;4,24
159;142200;88;24;4,24
160;143100;84;24;4,24
161;144000;28;20;0
162;144900;16;20;0
163;145800;68;20;0
164;146700;4;20;0
165;147600;61;24;0
166;148500;6;20;0
167;149400;2;19;0
168;150300;2;18;0
169;151200;28;17;0
170;152100;36;16;0
171;153000;4;14;0
172;153900;28;13;0
173;154800;96;12;0
174;155700;52;11;0
175;156600;72;10;0
176;157500;12;10;0
177;158400;56;10;0
178;159300;76;10;0
179;160200;92;10;0
180;161100;16;10;0
181;162000;36;10;0
182;162900;32;10;0
183;163800;4;8;0
184;164700;8;7;0
185;165600;52;6;0
186;166500;36;4;0
187;167400;76;3;0
188;168300;68;3;0
189;169200;96;28;0
190;170100;64;3;0
191;171000;96;3;0
192;171900;64;3;0
193;172800;24;3;0
194;173700;88;3;0
195;174600;2;3;0
196;175500;28;3;0
197;176400;6;3;0
198;177300;12;3;0
199;178200;48;3;0
200;179100;64;3;0
201;180000;6;3;0
202;180900;44;3;0
203;181800;16;3;0
204;182700;8;3;0
205;183600;84;3;0
206;184500;72;3;0
207;185400;68;3;0
208;186300;56;3;0
209;187200;36;3;0
210;188100;84;3;0
211;189000;88;3;0
212;189900;2;3;0
213;190800;12;3;0
214;191700;88;3;0
215;192600;8;5;0
216;193500;92;7;0
217;194400;52;9;0
218;195300;36;11;0
219;196200;4;13;0
220;197100;92;13;0
221;198000;76;13;0
222;198900;28;13;0
223;199800;12;13;0
224;200700;36;13;0
225;201600;44;32;0,32
226;202500;76;32;0,32
227;203400;56;32;0,32
228;204300;48;32;0,32
229;205200;28;76;16,76
230;206100;4;76;16,76
231;207000;12;76;16,76
232;207900;52;76;16,76
233;208800;44;24;32,24
234;209700;8;24;32,24
235;210600;4;24;32,24
236;211500;96;24;32,24
237;212400;44;6;40,6
238;213300;6;6;40,6
239;214200;48;6;40,6
240;215100;84;6;40,6
241;216000;59;24;36
242;216900;52;20;36
243;217800;16;20;36
244;218700;28;20;36
245;219600;16;92;36,92
246;220500;36;92;36,92
247;221400;8;92;36,92
248;222300;2;92;36,92
249;223200;88;72;26,72
250;224100;44;72;26,72
251;225000;84;72;26,72
252;225900;4;72;26,72
253;226800;68;8;8,08
254;227700;36;8;8,08
255;228600;56;8;8,08
256;229500;88;8;8,08
257;230400;56;20;0
258;231300;24;20;0
259;232200;52;20;0
260;233100;48;20;0
261;234000;92;20;0
262;234900;16;20;0
263;235800;84;19;0
264;236700;8;18;0
265;237600;8;17;0
266;238500;52;16;0
267;239400;84;14;0
268;240300;2;13;0
269;241200;4;12;0
270;242100;44;11;0
271;243000;4;10;0
272;243900;64;10;0
273;244800;28;10;0
274;245700;4;10;0
275;246600;2;10;0
276;247500;12;10;0
277;248400;56;10;0
278;249300;44;10;0
279;250200;4;8;0
280;251100;12;7;0
281;252000;72;6;0
282;252900;92;4;0
283;253800;32;3;0
284;254700;4;3;0
285;255600;32;28;0
286;256500;8;3;0
287;257400;15;28;0
288;258300;6;3;0
289;259200;24;3;0
290;260100;96;3;0
291;261000;48;3;0
292;261900;8;3;0
293;262800;44;3;0
294;263700;68;3;0
295;264600;84;3;0
296;265500;92;3;0
297;266400;76;3;0
298;267300;6;3;0
299;268200;32;3;0
300;269100;13;28;0
301;270000;4;3;0
302;270900;6;3;0
303;271800;72;3;0
304;272700;8;3;0
305;273600;68;3;0
306;274500;32;3;0
307;275400;88;3;0
308;276300;16;3;0
309;277200;2;3;0
310;278100;4;3;0
311;279000;88;5;0
312;279900;28;7;0
313;280800;32;9;0
314;281700;72;11;0
315;282600;8;13;0
316;283500;88;13;0
317;284400;12;13;0
318;285300;8;13;0
319;286200;76;13;0
320;287100;16;13;0
321;288000;24;13;0
322;288900;48;13;0
323;289800;96;13;0
324;290700;32;13;0
325;291600;56;12;12,12
326;292500;28;12;12,12
327;293400;52;12;12,12
328;294300;76;12;12,12
329;295200;36;28;12,28
330;296100;72;18;12,28
331;297000;68;28;12,28
332;297900;44;28;12,28
333;298800;32;92;5,92
334;299700;28;92;5,92
335;300600;36;92;5,92
336;301500;68;92;5,92
337;302400;76;24;5,24
338;303300;28;24;5,24
339;304200;54;20;5,24
340;305100;16;24;5,24
341;306000;84;12;6,12
342;306900;8;12;6,12
343;307800;4;12;6,12
344;308700;28;12;6,12
345;309600;12;2;3,2
346;310500;76;2;3,2
347;311400;4;2;3,2
348;312300;28;2;3,2
349;313200;2;4;0,4
350;314100;56;4;0,4
351;315000;52;4;0,4
352;315900;16;4;0,4
353;316800;4;20;0
354;317700;96;20;0
355;318600;8;20;0
356;319500;96;20;0
357;320400;2;20;0
358;321300;36;20;0
359;322200;4;19;0
360;323100;8;18;0
361;324000;12;17;0
362;324900;28;16;0
363;325800;64;14;0
364;326700;44;13;0
365;327600;2;12;0
366;328500;4;11;0
367;329400;67;8;0
368;330300;68;10;0
369;331200;12;10;0
370;332100;72;10;0
371;333000;52;10;0
372;333900;12;10;0
373;334800;4;10;0
374;335700;6;10;0
375;336600;4;8;0
376;337500;28;7;0
377;338400;12;6;0
378;339300;56;4;0
379;340200;56;3;0
380;341100;6;3;0
381;342000;92;28;0
382;342900;4;3;0
383;343800;28;3;0
384;344700;48;3;0
385;345600;4;3;0
386;346500;12;3;0
387;347400;56;3;0
388;348300;8;3;0
389;349200;16;3;0
390;350100;76;3;0
391;351000;24;3;0
392;351900;48;3;0
393;352800;52;3;0
394;353700;4;3;0
395;354600;2;3;0
396;355500;88;3;0
397;356400;52;3;0
398;357300;12;3;0
399;358200;64;3;0
400;359100;12;3;0
401;360000;32;3;0
402;360900;44;3;0
403;361800;68;3;0
404;362700;56;3;0
405;363600;64;3;0
406;364500;36;3;0
407;365400;2;5;0
408;366300;76;7;0
409;367200;8;9;0
410;368100;8;11;0
411;369000;36;13;0
412;369900;24;13;0
413;370800;6;13;0
414;371700;4;13;0
415;372600;68;13;0
416;373500;44;48;0
417;374400;28;13;0
418;375300;36;13;0
419;376200;68;13;0
420;377100;76;13;0
421;378000;96;13;10
422;378900;88;13;10
423;379800;2;14;10
424;380700;92;16;10
425;381600;8;17;5
426;382500;96;18;5
427;383400;68;20;5
428;384300;32;20;5
429;385200;16;28;7,28
430;386100;68;28;7,28
431;387000;24;28;7,28
432;387900;12;28;7,28
433;388800;2;28;8,28
434;389700;8;28;8,28
435;390600;52;28;8,28
436;391500;44;28;8,28
437;392400;4;20;5
438;393300;24;20;5
439;394200;32;20;5
440;395100;4;20;5
441;396000;4;24;4,24
442;396900;8;24;4,24
443;397800;8;24;4,24
444;398700;96;24;4,24
445;399600;76;4;0,4
446;400500;92;4;0,4
447;401400;8;4;0,4
448;402300;52;4;0,4
449;403200;36;20;0
450;404100;52;20;0
451;405000;76;20;0
452;405900;48;20;0
453;406800;8;20;0
454;407700;36;24;0
455;408600;4;19;0
456;409500;36;18;0
457;410400;44;17;0
458;411300;48;16;0
459;412200;24;14;0
460;413100;64;13;0
461;414000;72;12;0
462;414900;44;11;0
463;415800;12;10;0
464;416700;84;10;0
465;417600;52;10;0
466;418500;64;10;0
467;419400;36;10;0
468;420300;76;10;0
469;421200;16;10;0
470;422100;68;10;0
471;423000;56;8;0
472;423900;52;7;0
473;424800;8;6;0
474;425700;6;4;0
475;426600;76;3;0
476;427500;76;3;0
477;428400;20;28;0
478;429300;4;3;0
479;430200;12;3;0
480;431100;92;3;0
481;432000;4;3;0
482;432900;16;3;0
483;433800;72;3;0
484;434700;14;28;0
485;435600;64;3;0
486;436500;2;3;0
487;437400;6;3;0
488;438300;92;3;0
489;439200;24;3;0
490;440100;36;3;0
491;441000;4;3;0
492;441900;4;3;0
493;442800;2;3;0
494;443700;13;28;0
495;444600;68;3;0
496;445500;32;3;0
497;446400;28;3;0
498;447300;16;3;0
499;448200;36;3;0
500;449100;24;3;0
501;450000;52;3;0
502;450900;96;3;0
503;451800;8;5;0
504;452700;64;7;0
505;453600;48;9;0
506;454500;52;11;0
507;455400;48;13;0
508;456300;68;13;0
509;457200;24;13;0
510;458100;96;13;0
511;459000;8;13;0
512;459900;36;13;0
513;460800;4;13;0
514;461700;72;13;0
515;462600;68;13;0
516;463500;68;13;0
517;464400;2;8;4,8
518;465300;64;8;4,8
519;466200;12;8;4,8
520;467100;68;8;4,8
521;468000;72;17;16
522;468900;4;88;16
523;469800;12;20;16
524;470700;96;20;16
525;471600;12;56;15,56
526;472500;12;56;15,56
527;473400;28;20;15,56
528;474300;8;56;15,56
529;475200;88;88;23,88
530;476100;76;88;23,88
531;477000;4;88;23,88
532;477900;96;88;23,88
533;478800;36;88;26,88
534;479700;28;88;26,88
535;480600;24;88;26,88
536;481500;8;88;26,88
537;482400;72;16;12,16
538;483300;92;16;12,16
539;484200;68;16;12,16
540;485100;4;16;12,16
541;486000;8;92;1,92
542;486900;68;92;1,92
543;487800;36;92;1,92
544;488700;84;92;1,92
545;489600;36;20;0
546;490500;56;20;0
547;491400;12;20;0
548;492300;24;20;0
549;493200;76;20;0
550;494100;72;20;0
551;495000;2;19;0
552;495900;32;18;0
553;496800;24;17;0
554;497700;50;44;0
555;498600;68;14;0
556;499500;84;13;0
557;500400;92;12;0
558;501300;28;11;0
559;502200;68;10;0
560;503100;28;10;0
561;504000;52;10;0
562;504900;12;10;0
563;505800;88;10;0
564;506700;24;10;0
565;507600;16;10;0
566;508500;36;10;0
567;509400;6;8;0
568;510300;88;7;0
569;511200;2;6;0
570;512100;56;4;0
571;513000;24;3;0
572;513900;4;3;0
573;514800;92;3;0
574;515700;36;3;0
575;516600;96;3;0
576;517500;12;3;0
577;518400;15;28;0
578;519300;88;3;0
579;520200;64;3;0
580;521100;24;3;0
581;522000;52;28;0
582;522900;28;3;0
583;523800;96;3;0
584;524700;48;3;0
585;525600;92;3;0
586;526500;28;3;0
587;527400;6;3;0
588;528300;84;3;0
589;529200;96;3;0
590;530100;4;3;0
591;531000;4;3;0
592;531900;96;3;0
593;532800;8;3;0
594;533700;4;3;0
595;534600;8;3;0
596;535500;8;3;0
597;536400;8;3;0
598;537300;52;3;0
599;538200;16;4;0
600;539100;44;5;0
601;540000;96;6;0
602;540900;88;7;0
603;541800;24;8;0
604;542700;6;8;0
605;543600;96;8;0
606;544500;8;8;0
607;545400;6;8;0
608;546300;48;8;0
609;547200;84;8;0
610;548100;44;8;0
611;549000;24;8;0
612;549900;84;8;0
613;550800;68;32;8,32
614;551700;92;32;8,32
615;552600;8;32;8,32
616;553500;8;32;8,32
617;554400;76;6;10,6
618;555300;36;6;10,6
619;556200;12;14;10,6
620;557100;84;6;10,6
621;558000;12;56;12,56
622;558900;32;56;12,56
623;559800;4;56;12,56
624;560700;36;56;12,56
625;561600;56;28;14,28
626;562500;12;28;14,28
627;563400;60;14;14,28
628;564300;16;28;14,28
629;565200;92;32;15,32
630;566100;76;32;15,32
631;567000;96;32;15,32
632;567900;64;32;15,32
633;568800;16;6;17,6
634;569700;64;6;17,6
635;570600;8;6;17,6
636;571500;44;6;17,6
637;572400;96;52;4,52
638;573300;36;52;4,52
639;574200;84;52;4,52
640;575100;88;52;4,52
641;576000;56;4;0,04
642;576900;2;4;0,04
643;577800;96;4;0,04
644;578700;36;4;0,04
645;579600;72;14;0
646;580500;64;14;0
647;581400;24;13;0
648;582300;6;12;0
649;583200;6;11;0
650;584100;28;11;0
651;585000;8;10;0
652;585900;24;10;0
653;586800;48;10;0
654;587700;6;10;0
655;588600;72;10;0
656;589500;12;10;0
657;590400;68;10;0
658;591300;4;10;0
659;592200;16;10;0
660;593100;32;10;0
661;594000;80;8;0
