Zeit;Waermebedarf;Strombedarf;DayAhead_Preis;PV;E_Mob
3600;0,000119452;9,30E-05;46,494144;0;0,00E+00
7200;0,000127013;9,20E-05;46,494144;0;0,00E+00
10800;0,000128525;8,87E-05;46,494144;0;0,00E+00
14400;0,000138101;8,51E-05;46,494144;0;0,00E+00
18000;0,00017187;8,24E-05;31,185194;0;2,00E+00
21600;0,000254025;8,01E-05;31,185194;0;2,00E+00
25200;0,000251505;7,66E-05;31,185194;0;2
28800;0,000244449;7,54E-05;31,185194;7,29E-07;2,00E+00
32400;0,000243441;7,59E-05;15,572136;2,39E-05;0,00E+00
36000;0,000238401;7,96E-05;15,572136;3,63E-05;0,00E+00
39600;0,000231848;8,39E-05;15,572136;5,40E-05;0,00E+00
43200;0,000224792;8,91E-05;15,572136;0,000116642;0,00E+00
46800;0,000222776;9,24E-05;-20,439016;5,53E-05;2
50400;0,000222272;9,21E-05;-20,439016;8,00E-05;2
54000;0,000223784;9,11E-05;-20,439016;4,00E-05;2
57600;0,0002258;9,15E-05;-20,439016;1,11E-05;2
61200;0,000235377;9,63E-05;-13,465143;0;0
64800;0,000243441;0,000103237;-13,465143;0;0
68400;0,000248481;0,000105242;-13,465143;0;0
72000;0,000247473;0,000103054;-13,465143;0;0
75600;0,000241929;9,95E-05;32,970448;0;0
79200;0,00022076;9,72E-05;32,970448;0;0
82800;0,000192535;9,92E-05;32,970448;0;0
86400;0,000141629;9,49E-05;32,970448;0;0,00E+00
90000;0,000117905;8,95E-05;12,82593;0;0,00E+00
93600;0,000125367;8,52E-05;12,82593;0;0,00E+00
97200;0,000126859;8,30E-05;12,82593;0;0,00E+00
100800;0,000136312;8,18E-05;12,82593;0;0,00E+00
104400;0,000169643;8,18E-05;8,911771;0;0,00E+00
108000;0,000250734;8,11E-05;8,911771;0;0,00E+00
111600;0,000248246;7,99E-05;8,911771;0;0
115200;0,000241281;8,49E-05;8,911771;1,07E-06;0,00E+00
118800;0,000240286;9,18E-05;-23,808455;3,69E-05;0,00E+00
122400;0,000235312;9,87E-05;-23,808455;4,28E-05;0,00E+00
126000;0,000228844;0,000102496;-23,808455;5,00E-05;0,00E+00
129600;0,000221879;0,000105725;-23,808455;1,40E-05;0,00E+00
133200;0,000219889;0,000106956;-8,929224;2,38E-05;0
136800;0,000219392;0,000105283;-8,929224;1,02E-05;0
140400;0,000220884;0,000103978;-8,929224;8,72E-06;0
144000;0,000222874;0,000104299;-8,929224;3,92E-06;0
147600;0,000232327;0,000107641;48,53639;0,00E+00;0
151200;0,000240286;0,00011716;48,53639;0,00E+00;0
154800;0,000245261;0,000117938;48,53639;0,00E+00;0
158400;0,000244266;0,000115425;48,53639;0,00E+00;0
162000;0,000238794;0,000108904;-18,779684;0,00E+00;0
165600;0,000217899;0,00010592;-18,779684;0,00E+00;0
169200;0,00019004;0,000107119;-18,779684;0,00E+00;0
172800;0,000139794;0,000102604;-18,779684;0,00E+00;0,00E+00
176400;0,000144996;9,67E-05;-7,842096;0,00E+00;0,00E+00
180000;0,0001489;9,26E-05;-7,842096;0,00E+00;0,00E+00
183600;0,00015113;8,94E-05;-7,842096;0,00E+00;0,00E+00
187200;0,000162841;8,62E-05;-7,842096;0,00E+00;0,00E+00
190800;0,000198533;8,52E-05;-3,010609;0,00E+00;2,00E+00
194400;0,000284415;8,34E-05;-3,010609;0,00E+00;2,00E+00
198000;0,000279396;8,05E-05;-3,010609;0,00E+00;2
201600;0,000263223;8,21E-05;-3,010609;0,00E+00;2,00E+00
205200;0,000269358;8,51E-05;34,793785;2,67E-05;0,00E+00
208800;0,000265454;8,99E-05;34,793785;6,91E-05;0,00E+00
212400;0,000258204;9,48E-05;34,793785;1,07E-04;0,00E+00
216000;0,00025207;0,000100066;34,793785;1,53E-04;0,00E+00
219600;0,000249839;0,000101706;73,76365;1,37E-04;0
223200;0,00024482;9,91E-05;73,76365;5,84E-05;0
226800;0,000244262;9,73E-05;73,76365;7,37E-05;0
230400;0,000246493;9,70E-05;73,76365;1,87E-05;0
234000;0,000256531;0,000102117;48,476067;0;0
237600;0,000264339;0,000110787;48,476067;0;0
241200;0,000267685;0,000113026;48,476067;0;0
244800;0,000265454;0,000110664;48,476067;0;0
248400;0,000257646;0,00010636;65,68649;0;0
252000;0,000235897;0,000104571;65,68649;0;0
255600;0,000211359;0,000106751;65,68649;0;0
259200;0,000155034;0,000101916;65,68649;0;0,00E+00
262800;0,00015577;9,66E-05;67,85413;0;2,00E+00
266400;0,000159963;9,20E-05;67,85413;0;2,00E+00
270000;0,00016236;8,96E-05;67,85413;0;2,00E+00
273600;0,000174941;8,84E-05;67,85413;0;2,00E+00
277200;0,000213285;8,92E-05;-19,447767;0;2,00E+00
280800;0,000305548;9,12E-05;-19,447767;0;2,00E+00
284400;0,000300156;9,86E-05;-19,447767;0;2
288000;0,000282782;0,000109614;-19,447767;9,61E-06;2,00E+00
291600;0,000289372;0,00011637;64,04065;2,27E-05;2,00E+00
295200;0,000285178;0,000120591;64,04065;0,000185747;2,00E+00
298800;0,00027739;0,000123466;64,04065;0,000562052;2,00E+00
302400;0,000270799;0,000125863;64,04065;0,000613609;2,00E+00
306000;0,000268403;0,000126758;36,62133;0,000605331;2
309600;0,000263011;0,000125403;36,62133;0,000376727;2
313200;0,000262412;0,000124164;36,62133;0,000153787;2
316800;0,000264808;0,000123337;36,62133;1,69E-05;2
320400;0,000275592;0,000125564;3,425001;0;0
324000;0,00028398;0,000133413;3,425001;0;0
327600;0,000287575;0,000132935;3,425001;0;0
331200;0,000285178;0,0001308;3,425001;0;0
334800;0,000276791;0,000124744;-26,657152;0;2
338400;0,000253425;0,000121176;-26,657152;0;2
342000;0,000227064;0,00011942;-26,657152;0;2
345600;0,000166554;0,000113697;-26,657152;0;2,00E+00
349200;0,000156127;0,000109084;7,328113;0;0,00E+00
352800;0,000160331;0,000104716;7,328113;0;0,00E+00
356400;0,000162733;0,000101765;7,328113;0;0,00E+00
360000;0,000175343;0,00010013;7,328113;0;0,00E+00
363600;0,000213774;0,000100705;65,9053;0;0,00E+00
367200;0,00030625;0,000103646;65,9053;0;0,00E+00
370800;0,000300845;0,00011213;65,9053;0;0
374400;0,000283431;0,000124834;65,9053;9,69E-06;0,00E+00
378000;0,000290036;0,000130929;78,08764;3,14E-05;0,00E+00
381600;0,000285833;0,000132593;78,08764;0,000292145;0,00E+00
385200;0,000278027;0,000133878;78,08764;0,000532466;0,00E+00
388800;0,000271421;0,000135638;78,08764;0,000577109;0,00E+00
392400;0,000269019;0,000136082;31,06621;0,000576196;0
396000;0,000263615;0,000135354;31,06621;0,000485406;0
399600;0,000263014;0,000133544;31,06621;0,000242421;0
403200;0,000265416;0,000132411;31,06621;2,23E-05;0
406800;0,000276225;0,00013378;32,111374;0;2
410400;0,000284632;0,000139756;32,111374;0;2
414000;0,000288235;0,000141175;32,111374;0;2
417600;0,000285833;0,000138901;32,111374;0;2
421200;0,000277426;0,000132601;-19,65149;0;2
424800;0,000254007;0,000126778;-19,65149;0;2
428400;0,000227586;0,000124516;-19,65149;0;2
432000;0,000166936;0,000116465;-19,65149;0;2,00E+00
435600;0,000142762;0,000110513;34,997345;0;0,00E+00
439200;0,000146606;0,000106051;34,997345;0;0,00E+00
442800;0,000148802;0,000102993;34,997345;0;0,00E+00
446400;0,000160333;0,000101219;34,997345;0;0,00E+00
450000;0,000195474;0,000101433;-2,67042;0;0,00E+00
453600;0,000280033;0,000103427;-2,67042;0;0,00E+00
457200;0,000275091;0,000110658;-2,67042;0;0
460800;0,000259168;0,000121714;-2,67042;9,47E-06;0,00E+00
464400;0,000265208;0,000126784;63,299686;4,61E-05;0,00E+00
468000;0,000261364;0,000128602;63,299686;2,25E-04;0,00E+00
471600;0,000254226;0,000130753;63,299686;4,63E-04;0,00E+00
475200;0,000248186;0,00013291;63,299686;3,78E-04;0,00E+00
478800;0,00024599;0,000133025;-27,86445;3,28E-04;0
482400;0,000241048;0,000131252;-27,86445;2,64E-04;0
486000;0,000240499;0,000129199;-27,86445;9,59E-05;0
489600;0,000242695;0,000128362;-27,86445;2,39E-05;0
493200;0,000252579;0,000129742;-4,628523;0,00E+00;0
496800;0,000260266;0,000136156;-4,628523;0,00E+00;0
500400;0,000263561;0,000138457;-4,628523;0,00E+00;0
504000;0,000261364;0,000135982;-4,628523;0,00E+00;0
507600;0,000253677;0,000129574;8,164288;0,00E+00;2
511200;0,000232263;0,000125304;8,164288;0,00E+00;2
514800;0,000208103;0,000123976;8,164288;0,00E+00;2
518400;0,000152646;0,00011689;8,164288;0,00E+00;2,00E+00
522000;0,000118501;0,000110648;-10,967108;0,00E+00;0,00E+00
525600;0,000126001;0,000105791;-10,967108;0,00E+00;0,00E+00
529200;0,000127501;0,00010293;-10,967108;0,00E+00;0,00E+00
532800;0,000137001;0,000101321;-10,967108;0,00E+00;0,00E+00
536400;0,000170501;0,000102418;8,403241;0,00E+00;0,00E+00
540000;0,000252002;0,000106943;8,403241;0,00E+00;0,00E+00
543600;0,000249502;0,000118022;8,403241;0,00E+00;0
547200;0,000242502;0,000131985;8,403241;0,00E+00;0,00E+00
550800;0,000241502;0,000136432;-14,283743;1,32E-05;0,00E+00
554400;0,000236502;0,000136713;-14,283743;2,43E-05;0,00E+00
558000;0,000230002;0,000137722;-14,283743;6,19E-05;0,00E+00
561600;0,000223001;0,000138907;-14,283743;9,16E-05;0,00E+00
565200;0,000221001;0,000138792;40,780033;7,03E-05;0
568800;0,000220501;0,000137511;40,780033;4,15E-05;0
572400;0,000222001;0,000135734;40,780033;2,39E-05;0
576000;0,000224001;0,000135229;40,780033;1,61E-05;0
579600;0,000233502;0,000135608;-25,50286;0;0
583200;0,000241502;0,000142309;-25,50286;0;0
586800;0,000246502;0,000143936;-25,50286;0;0
590400;0,000245502;0,000141973;-25,50286;0;0
594000;0,000240002;0,000135779;0,494911;0;0
597600;0,000219001;0,000130454;0,494911;0;0
601200;0,000191001;0,00012721;0,494911;0;0
604800;0,000140501;0,000119653;0,494911;0;0,00E+00
608400;0,00011506;0,000113268;49,296276;0;0,00E+00
612000;0,000122342;0,000108789;49,296276;0;0,00E+00
615600;0,000123799;0,00010558;49,296276;0;0,00E+00
619200;0,000133023;0,00010338;49,296276;0;0,00E+00
622800;0,000165551;0,000104172;34,55942;0;0,00E+00
626400;0,000244685;0,000108034;34,55942;0;0,00E+00
630000;0,000242257;0,000117785;34,55942;0;0
