"";"Pel_CHP1_PubGel1";"Pel_PV1_PubGel1";"Pel_PubGel1_Demel1";"Pel_CHP1_Demel1";"Pel_PV1_Demel1";"Pel_PubGel1_Demel2";"Pel_CHP1_Demel2";"Pel_PV1_Demel2";"Pfuel_PubGfuel1_GaBo1";"Pfuel_PubGfuel1_CHP1";"Pth_CHP1_TS1";"Pth_GaBo1_Demth1";"Pth_TS1_Demth1";"Eth_TS1";"Op_CHP1";"epex"
"1";11,63;0;0;8,37;0;0;0;0;0;52,5003281270508;29,0001312508203;0;17,9178;80,6878295529305;1;0,046494144
"2";11,72;0;0;8,28;0;0;0;0;0;52,5003281270508;29,0001312508203;0;19,05195;90,434231450698;1;0,046494144
"3";12,017;0;0;7,983;0;0;0;0;0;52,5003281270508;29,0001312508203;0;19,27875;99,9294601229069;1;0,046494144
"4";12,341;0;0;7,659;0;0;0;0;0;52,5003281270508;29,0001312508203;0;20,71515;107,964543688708;1;0,046494144
"5";0;0;7,416;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;25,7805;110,914183592644;1;0,031185194
"6";0;0;7,209;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;38,10375;101,533197211521;1;0,031185194
"7";0;0;6,894;0;0;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;37,72575;92,5536702464406;1;0,031185194
"8";0;0;6,757199397;-8,88178419700125e-16;0,028800603;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;36,66735;84,6549987514321;1;0,031185194
"9";13,169;0,9442173;0;6,831;0;0;0;0;0;52,5003281270508;29,0001312508203;0;36,51615;76,9272797870477;1;0,015572136
"10";12,836;1,4341041;0;7,164;0;0;0;0;0;52,5003281270508;29,0001312508203;0;35,76015;69,9748858453074;1;0,015572136
"11";12,449;2,133378;0;7,551;0;0;0;0;0;52,5003281270508;29,0001312508203;0;34,7772;64,0228280392397;1;0,015572136
"12";11,981;4,608175494;0;8,019;0;0;0;0;0;52,5003281270508;29,0001312508203;0;33,7188;59,1440547873865;1;0,015572136
"13";0;0;8,13126290000001;0;0,184737099999989;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;33,4164;54,5798820831985;1;-0,020439016
"14";0;0;7,12844000000001;0;1,16055999999999;0;20;2,00000000000001;0;52,5003281270508;29,0001312508203;0;33,3408;50,1027231922283;1;-0,020439016
"15";0;0;6,61872;1,77635683940025e-15;1,58028;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;-1,57772181044202e-30;33,5676;45,409960515477;1;-0,020439016
"16";0;0;7,7964723;0;0,4385277;2,00000000000001;20;0;0;52,5003281270508;29,0001312508203;0;33,87;40,4265332221434;1;-0,020439016
"17";11,333;0;0;8,667;0;0;0;0;0;52,5003281270508;29,0001312508203;0;35,30655;34,0190181891136;1;-0,013465143
"18";10,70867;0;0;9,29133;0;0;0;0;0;52,5003281270508;29,0001312508203;-1,57772181044202e-30;36,51615;26,4179266908003;1;-0,013465143
"19";10,52822;0;0;9,47178;0;0;0;0;0;52,5003281270508;29,0001312508203;0;37,27215;18,0798435526514;1;-0,013465143
"20";10,72514;0;0;9,27486;0;0;0;0;0;52,5003281270508;29,0001312508203;3,15544362088405e-30;37,12095;9,91381179978128;1;-0,013465143
"21";11,045;0;0;8,955;0;0;0;0;0;52,5003281270508;29,0001312508203;0;36,28935;2,59980117625906;1;0,032970448
"22";11,252;0;0;8,748;0;0;0;0;14,9248114196071;52,5003281270508;29,0001312508203;13,4323302776464;19,6816697223536;11,9117612756711;1;0,032970448
